b5,count_all
-90.0,221801
-85.0,634117
-80.0,1083993
-75.0,1533804
-70.0,2098901
-65.0,2678168
-60.0,3430046
-55.0,4396877
-50.0,6290462
-45.0,10537327
-40.0,13816644
-35.0,30308579
-30.0,22320118
-25.0,31676290
-20.0,55434645
-15.0,115582313
-10.0,281481333
-5.0,361970324
0.0,289508715
5.0,216348751
10.0,96868059
15.0,46956767
20.0,28499822
25.0,18736755
30.0,13027642
35.0,9357750
40.0,7057101
45.0,5445799
50.0,4227341
55.0,3325810
60.0,2608812
65.0,2016369
70.0,1512276
75.0,1107849
80.0,613402
85.0,204373
